Category: All categories

Month,Lupus in men: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,33
2009-05,0
2009-06,0
2009-07,0
2009-08,43
2009-09,41
2009-10,33
2009-11,37
2009-12,34
2010-01,45
2010-02,31
2010-03,49
2010-04,51
2010-05,50
2010-06,66
2010-07,55
2010-08,83
2010-09,63
2010-10,52
2010-11,57
2010-12,63
2011-01,69
2011-02,55
2011-03,69
2011-04,63
2011-05,89
2011-06,79
2011-07,86
2011-08,64
2011-09,70
2011-10,100
2011-11,82
2011-12,71
2012-01,66
2012-02,57
2012-03,93
2012-04,87
2012-05,64
2012-06,67
2012-07,61
2012-08,67
2012-09,68
2012-10,48
2012-11,61
2012-12,51
2013-01,55
2013-02,43
2013-03,60
2013-04,66
2013-05,78
2013-06,74
2013-07,92
2013-08,77
2013-09,85
2013-10,92
2013-11,57
2013-12,55
2014-01,58
2014-02,51
2014-03,42
2014-04,36
2014-05,59
2014-06,58
2014-07,44
2014-08,51
2014-09,54
2014-10,53
2014-11,45
2014-12,52
2015-01,45
2015-02,46
2015-03,62
2015-04,63
2015-05,45
2015-06,60
2015-07,51
2015-08,50
2015-09,38
2015-10,65
2015-11,42
2015-12,42
2016-01,54
2016-02,51
2016-03,52
2016-04,74
2016-05,76
2016-06,51
2016-07,49
2016-08,69
2016-09,83
2016-10,47
2016-11,41
2016-12,54
2017-01,71
2017-02,88
2017-03,54
2017-04,48
2017-05,57
2017-06,63
2017-07,75
2017-08,58
2017-09,58
2017-10,55
2017-11,75
2017-12,70
2018-01,52
2018-02,59
2018-03,79
2018-04,91
2018-05,97
2018-06,87
2018-07,68
2018-08,45
2018-09,52
2018-10,63
2018-11,52
2018-12,66
2019-01,66
2019-02,63
2019-03,63
2019-04,51
2019-05,49
2019-06,43
2019-07,50
2019-08,30
2019-09,46
2019-10,53
2019-11,46
2019-12,31
2020-01,47
2020-02,55
2020-03,43
2020-04,51
2020-05,44
2020-06,42
2020-07,34
2020-08,36
2020-09,36
2020-10,55
2020-11,34
2020-12,42
2021-01,35
2021-02,43
2021-03,30
2021-04,48
2021-05,58
2021-06,46
2021-07,50
2021-08,44
2021-09,44
2021-10,32
2021-11,46
2021-12,46
2022-01,55
2022-02,46
2022-03,63
2022-04,60
2022-05,52
2022-06,42
2022-07,54
2022-08,51
2022-09,64
2022-10,43
2022-11,62
2022-12,52
2023-01,59
2023-02,54
2023-03,63
2023-04,61
2023-05,66
2023-06,63
2023-07,53
2023-08,51
2023-09,61
2023-10,66
2023-11,47
2023-12,51
2024-01,59
2024-02,66
2024-03,61
2024-04,67
2024-05,67
2024-06,59
2024-07,57
2024-08,67
2024-09,55
2024-10,54
2024-11,51
2024-12,66
2025-01,56
2025-02,56
2025-03,68
2025-04,72
2025-05,51
2025-06,65
2025-07,64
2025-08,58
2025-09,58
