Category: All categories

Month,Lupus in Women: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,8
2008-01,7
2008-02,6
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,10
2008-10,7
2008-11,5
2008-12,0
2009-01,6
2009-02,6
2009-03,5
2009-04,5
2009-05,9
2009-06,12
2009-07,16
2009-08,9
2009-09,14
2009-10,14
2009-11,13
2009-12,23
2010-01,34
2010-02,59
2010-03,71
2010-04,79
2010-05,94
2010-06,100
2010-07,68
2010-08,32
2010-09,39
2010-10,38
2010-11,45
2010-12,43
2011-01,63
2011-02,46
2011-03,29
2011-04,34
2011-05,50
2011-06,55
2011-07,65
2011-08,83
2011-09,85
2011-10,45
2011-11,20
2011-12,20
2012-01,40
2012-02,52
2012-03,37
2012-04,24
2012-05,38
2012-06,52
2012-07,48
2012-08,28
2012-09,30
2012-10,37
2012-11,44
2012-12,39
2013-01,28
2013-02,41
2013-03,35
2013-04,34
2013-05,43
2013-06,44
2013-07,50
2013-08,41
2013-09,49
2013-10,79
2013-11,51
2013-12,27
2014-01,22
2014-02,23
2014-03,36
2014-04,39
2014-05,21
2014-06,15
2014-07,31
2014-08,37
2014-09,33
2014-10,18
2014-11,21
2014-12,22
2015-01,30
2015-02,34
2015-03,27
2015-04,21
2015-05,23
2015-06,28
2015-07,34
2015-08,20
2015-09,16
2015-10,31
2015-11,37
2015-12,39
2016-01,28
2016-02,16
2016-03,18
2016-04,35
2016-05,32
2016-06,22
2016-07,12
2016-08,40
2016-09,54
2016-10,12
2016-11,8
2016-12,8
2017-01,21
2017-02,46
2017-03,13
2017-04,24
2017-05,20
2017-06,38
2017-07,70
2017-08,18
2017-09,17
2017-10,24
2017-11,69
2017-12,22
2018-01,19
2018-02,23
2018-03,36
2018-04,32
2018-05,42
2018-06,43
2018-07,35
2018-08,16
2018-09,22
2018-10,26
2018-11,19
2018-12,27
2019-01,37
2019-02,38
2019-03,24
2019-04,16
2019-05,33
2019-06,22
2019-07,16
2019-08,22
2019-09,47
2019-10,17
2019-11,12
2019-12,20
2020-01,22
2020-02,22
2020-03,11
2020-04,22
2020-05,20
2020-06,21
2020-07,20
2020-08,13
2020-09,35
2020-10,46
2020-11,30
2020-12,32
2021-01,38
2021-02,41
2021-03,33
2021-04,32
2021-05,38
2021-06,42
2021-07,38
2021-08,32
2021-09,31
2021-10,37
2021-11,32
2021-12,33
2022-01,34
2022-02,35
2022-03,40
2022-04,40
2022-05,38
2022-06,38
2022-07,45
2022-08,45
2022-09,39
2022-10,36
2022-11,44
2022-12,41
2023-01,38
2023-02,47
2023-03,51
2023-04,43
2023-05,47
2023-06,50
2023-07,45
2023-08,46
2023-09,43
2023-10,41
2023-11,41
2023-12,44
2024-01,43
2024-02,40
2024-03,49
2024-04,43
2024-05,50
2024-06,48
2024-07,44
2024-08,45
2024-09,42
2024-10,44
2024-11,46
2024-12,46
2025-01,48
2025-02,52
2025-03,50
2025-04,58
2025-05,49
2025-06,46
2025-07,53
2025-08,54
2025-09,48
