Category: All categories

Month,Multiple sclerosis in men: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,75
2011-04,72
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,67
2011-11,82
2011-12,0
2012-01,80
2012-02,70
2012-03,0
2012-04,0
2012-05,0
2012-06,57
2012-07,0
2012-08,64
2012-09,68
2012-10,0
2012-11,53
2012-12,0
2013-01,49
2013-02,53
2013-03,91
2013-04,70
2013-05,52
2013-06,50
2013-07,69
2013-08,46
2013-09,0
2013-10,46
2013-11,59
2013-12,0
2014-01,0
2014-02,53
2014-03,56
2014-04,0
2014-05,54
2014-06,58
2014-07,0
2014-08,68
2014-09,49
2014-10,0
2014-11,0
2014-12,53
2015-01,0
2015-02,0
2015-03,0
2015-04,58
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,40
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,40
2017-01,39
2017-02,43
2017-03,61
2017-04,0
2017-05,45
2017-06,0
2017-07,39
2017-08,0
2017-09,0
2017-10,43
2017-11,0
2017-12,39
2018-01,0
2018-02,0
2018-03,58
2018-04,35
2018-05,52
2018-06,51
2018-07,37
2018-08,0
2018-09,56
2018-10,0
2018-11,37
2018-12,0
2019-01,0
2019-02,0
2019-03,45
2019-04,55
2019-05,0
2019-06,36
2019-07,39
2019-08,0
2019-09,34
2019-10,37
2019-11,46
2019-12,32
2020-01,29
2020-02,34
2020-03,35
2020-04,27
2020-05,28
2020-06,39
2020-07,32
2020-08,41
2020-09,30
2020-10,0
2020-11,35
2020-12,0
2021-01,37
2021-02,0
2021-03,40
2021-04,37
2021-05,44
2021-06,0
2021-07,74
2021-08,48
2021-09,43
2021-10,36
2021-11,51
2021-12,0
2022-01,49
2022-02,33
2022-03,54
2022-04,60
2022-05,40
2022-06,42
2022-07,31
2022-08,37
2022-09,37
2022-10,42
2022-11,55
2022-12,0
2023-01,48
2023-02,46
2023-03,77
2023-04,63
2023-05,42
2023-06,45
2023-07,47
2023-08,64
2023-09,43
2023-10,36
2023-11,59
2023-12,0
2024-01,54
2024-02,0
2024-03,53
2024-04,72
2024-05,74
2024-06,59
2024-07,50
2024-08,49
2024-09,51
2024-10,75
2024-11,56
2024-12,68
2025-01,52
2025-02,63
2025-03,50
2025-04,88
2025-05,65
2025-06,74
2025-07,100
2025-08,98
2025-09,59
