Category: All categories

Month,Multiple sclerosis in women: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,53
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,31
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,25
2009-05,28
2009-06,39
2009-07,39
2009-08,48
2009-09,48
2009-10,37
2009-11,47
2009-12,49
2010-01,48
2010-02,49
2010-03,75
2010-04,100
2010-05,75
2010-06,58
2010-07,55
2010-08,58
2010-09,30
2010-10,32
2010-11,38
2010-12,40
2011-01,39
2011-02,33
2011-03,26
2011-04,46
2011-05,37
2011-06,55
2011-07,32
2011-08,31
2011-09,23
2011-10,26
2011-11,20
2011-12,13
2012-01,21
2012-02,16
2012-03,22
2012-04,27
2012-05,19
2012-06,30
2012-07,39
2012-08,20
2012-09,32
2012-10,14
2012-11,23
2012-12,24
2013-01,21
2013-02,18
2013-03,34
2013-04,50
2013-05,25
2013-06,22
2013-07,22
2013-08,18
2013-09,25
2013-10,17
2013-11,22
2013-12,24
2014-01,9
2014-02,0
2014-03,13
2014-04,10
2014-05,11
2014-06,14
2014-07,9
2014-08,15
2014-09,0
2014-10,0
2014-11,12
2014-12,0
2015-01,14
2015-02,13
2015-03,10
2015-04,14
2015-05,15
2015-06,0
2015-07,0
2015-08,11
2015-09,0
2015-10,15
2015-11,0
2015-12,9
2016-01,8
2016-02,14
2016-03,10
2016-04,0
2016-05,9
2016-06,0
2016-07,0
2016-08,7
2016-09,13
2016-10,9
2016-11,0
2016-12,7
2017-01,0
2017-02,13
2017-03,9
2017-04,9
2017-05,0
2017-06,7
2017-07,11
2017-08,14
2017-09,7
2017-10,0
2017-11,7
2017-12,7
2018-01,14
2018-02,12
2018-03,10
2018-04,7
2018-05,12
2018-06,10
2018-07,8
2018-08,11
2018-09,6
2018-10,10
2018-11,14
2018-12,0
2019-01,9
2019-02,10
2019-03,10
2019-04,11
2019-05,7
2019-06,7
2019-07,10
2019-08,0
2019-09,9
2019-10,6
2019-11,10
2019-12,9
2020-01,11
2020-02,10
2020-03,0
2020-04,7
2020-05,6
2020-06,8
2020-07,8
2020-08,7
2020-09,11
2020-10,13
2020-11,16
2020-12,10
2021-01,13
2021-02,9
2021-03,9
2021-04,14
2021-05,11
2021-06,9
2021-07,9
2021-08,16
2021-09,13
2021-10,15
2021-11,14
2021-12,12
2022-01,7
2022-02,20
2022-03,13
2022-04,26
2022-05,11
2022-06,14
2022-07,11
2022-08,12
2022-09,12
2022-10,15
2022-11,20
2022-12,12
2023-01,13
2023-02,18
2023-03,17
2023-04,21
2023-05,13
2023-06,9
2023-07,13
2023-08,13
2023-09,19
2023-10,13
2023-11,15
2023-12,12
2024-01,10
2024-02,15
2024-03,19
2024-04,16
2024-05,17
2024-06,21
2024-07,20
2024-08,15
2024-09,15
2024-10,26
2024-11,21
2024-12,29
2025-01,22
2025-02,21
2025-03,21
2025-04,24
2025-05,28
2025-06,30
2025-07,28
2025-08,29
2025-09,21
