year,count,disease_id,disease_name,gender
2000,102,sle,Systemic Lupus Erythematosus,women
2001,115,sle,Systemic Lupus Erythematosus,women
2002,150,sle,Systemic Lupus Erythematosus,women
2003,138,sle,Systemic Lupus Erythematosus,women
2004,139,sle,Systemic Lupus Erythematosus,women
2005,169,sle,Systemic Lupus Erythematosus,women
2006,175,sle,Systemic Lupus Erythematosus,women
2007,170,sle,Systemic Lupus Erythematosus,women
2008,200,sle,Systemic Lupus Erythematosus,women
2009,237,sle,Systemic Lupus Erythematosus,women
2010,239,sle,Systemic Lupus Erythematosus,women
2011,253,sle,Systemic Lupus Erythematosus,women
2012,249,sle,Systemic Lupus Erythematosus,women
2013,246,sle,Systemic Lupus Erythematosus,women
2014,266,sle,Systemic Lupus Erythematosus,women
2015,261,sle,Systemic Lupus Erythematosus,women
2016,256,sle,Systemic Lupus Erythematosus,women
2017,285,sle,Systemic Lupus Erythematosus,women
2018,270,sle,Systemic Lupus Erythematosus,women
2019,298,sle,Systemic Lupus Erythematosus,women
2020,288,sle,Systemic Lupus Erythematosus,women
2021,338,sle,Systemic Lupus Erythematosus,women
2022,340,sle,Systemic Lupus Erythematosus,women
2023,309,sle,Systemic Lupus Erythematosus,women
2024,298,sle,Systemic Lupus Erythematosus,women
2025,203,sle,Systemic Lupus Erythematosus,women
2000,14,sle,Systemic Lupus Erythematosus,men
2001,14,sle,Systemic Lupus Erythematosus,men
2002,20,sle,Systemic Lupus Erythematosus,men
2003,19,sle,Systemic Lupus Erythematosus,men
2004,21,sle,Systemic Lupus Erythematosus,men
2005,16,sle,Systemic Lupus Erythematosus,men
2006,20,sle,Systemic Lupus Erythematosus,men
2007,16,sle,Systemic Lupus Erythematosus,men
2008,25,sle,Systemic Lupus Erythematosus,men
2009,19,sle,Systemic Lupus Erythematosus,men
2010,22,sle,Systemic Lupus Erythematosus,men
2011,33,sle,Systemic Lupus Erythematosus,men
2012,31,sle,Systemic Lupus Erythematosus,men
2013,32,sle,Systemic Lupus Erythematosus,men
2014,20,sle,Systemic Lupus Erythematosus,men
2015,26,sle,Systemic Lupus Erythematosus,men
2016,34,sle,Systemic Lupus Erythematosus,men
2017,32,sle,Systemic Lupus Erythematosus,men
2018,21,sle,Systemic Lupus Erythematosus,men
2019,28,sle,Systemic Lupus Erythematosus,men
2020,25,sle,Systemic Lupus Erythematosus,men
2021,23,sle,Systemic Lupus Erythematosus,men
2022,27,sle,Systemic Lupus Erythematosus,men
2023,30,sle,Systemic Lupus Erythematosus,men
2024,39,sle,Systemic Lupus Erythematosus,men
2025,19,sle,Systemic Lupus Erythematosus,men
2000,66,ms,Multiple Sclerosis,women
2001,61,ms,Multiple Sclerosis,women
2002,64,ms,Multiple Sclerosis,women
2003,81,ms,Multiple Sclerosis,women
2004,116,ms,Multiple Sclerosis,women
2005,96,ms,Multiple Sclerosis,women
2006,100,ms,Multiple Sclerosis,women
2007,105,ms,Multiple Sclerosis,women
