year,count,disease_id,disease_name
2000,1022,sle,Systemic Lupus Erythematosus
2001,1103,sle,Systemic Lupus Erythematosus
2002,1165,sle,Systemic Lupus Erythematosus
2003,1170,sle,Systemic Lupus Erythematosus
2004,1323,sle,Systemic Lupus Erythematosus
2005,1460,sle,Systemic Lupus Erythematosus
2006,1466,sle,Systemic Lupus Erythematosus
2007,1601,sle,Systemic Lupus Erythematosus
2008,1628,sle,Systemic Lupus Erythematosus
2009,1766,sle,Systemic Lupus Erythematosus
2010,1892,sle,Systemic Lupus Erythematosus
2011,1973,sle,Systemic Lupus Erythematosus
2012,2042,sle,Systemic Lupus Erythematosus
2013,1950,sle,Systemic Lupus Erythematosus
2014,2020,sle,Systemic Lupus Erythematosus
2015,2046,sle,Systemic Lupus Erythematosus
2016,2043,sle,Systemic Lupus Erythematosus
2017,2053,sle,Systemic Lupus Erythematosus
2018,2113,sle,Systemic Lupus Erythematosus
2019,2195,sle,Systemic Lupus Erythematosus
2020,2370,sle,Systemic Lupus Erythematosus
2021,2564,sle,Systemic Lupus Erythematosus
2022,2510,sle,Systemic Lupus Erythematosus
2023,2340,sle,Systemic Lupus Erythematosus
2024,2281,sle,Systemic Lupus Erythematosus
2025,1363,sle,Systemic Lupus Erythematosus
2000,1210,ms,Multiple Sclerosis
2001,1239,ms,Multiple Sclerosis
2002,1183,ms,Multiple Sclerosis
2003,1328,ms,Multiple Sclerosis
2004,1440,ms,Multiple Sclerosis
2005,1594,ms,Multiple Sclerosis
2006,1628,ms,Multiple Sclerosis
2007,1832,ms,Multiple Sclerosis
2008,2015,ms,Multiple Sclerosis
2009,2125,ms,Multiple Sclerosis
2010,2306,ms,Multiple Sclerosis
2011,2566,ms,Multiple Sclerosis
2012,2705,ms,Multiple Sclerosis
2013,2920,ms,Multiple Sclerosis
2014,3052,ms,Multiple Sclerosis
2015,3140,ms,Multiple Sclerosis
2016,3150,ms,Multiple Sclerosis
2017,3170,ms,Multiple Sclerosis
2018,3245,ms,Multiple Sclerosis
2019,3420,ms,Multiple Sclerosis
2020,3805,ms,Multiple Sclerosis
2021,3855,ms,Multiple Sclerosis
2022,3783,ms,Multiple Sclerosis
2023,3203,ms,Multiple Sclerosis
2024,3318,ms,Multiple Sclerosis
2025,1885,ms,Multiple Sclerosis
2000,178,hashimoto,Hashimoto Thyroiditis
2001,185,hashimoto,Hashimoto Thyroiditis
2002,200,hashimoto,Hashimoto Thyroiditis
2003,251,hashimoto,Hashimoto Thyroiditis
2004,223,hashimoto,Hashimoto Thyroiditis
2005,238,hashimoto,Hashimoto Thyroiditis
2006,293,hashimoto,Hashimoto Thyroiditis
2007,234,hashimoto,Hashimoto Thyroiditis
2008,288,hashimoto,Hashimoto Thyroiditis
2009,285,hashimoto,Hashimoto Thyroiditis
2010,321,hashimoto,Hashimoto Thyroiditis
2011,320,hashimoto,Hashimoto Thyroiditis
