Category: All categories

Month,rheumatoid arthritis in women: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,95
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,57
2010-02,0
2010-03,56
2010-04,74
2010-05,0
2010-06,81
2010-07,0
2010-08,0
2010-09,0
2010-10,41
2010-11,0
2010-12,40
2011-01,56
2011-02,47
2011-03,77
2011-04,77
2011-05,67
2011-06,99
2011-07,89
2011-08,100
2011-09,93
2011-10,62
2011-11,32
2011-12,34
2012-01,42
2012-02,58
2012-03,51
2012-04,58
2012-05,58
2012-06,58
2012-07,67
2012-08,51
2012-09,50
2012-10,59
2012-11,73
2012-12,67
2013-01,38
2013-02,44
2013-03,48
2013-04,60
2013-05,72
2013-06,56
2013-07,64
2013-08,60
2013-09,47
2013-10,57
2013-11,77
2013-12,36
2014-01,24
2014-02,27
2014-03,33
2014-04,32
2014-05,22
2014-06,30
2014-07,0
2014-08,33
2014-09,30
2014-10,22
2014-11,21
2014-12,26
2015-01,39
2015-02,34
2015-03,27
2015-04,25
2015-05,31
2015-06,25
2015-07,37
2015-08,40
2015-09,0
2015-10,0
2015-11,35
2015-12,43
2016-01,26
2016-02,22
2016-03,29
2016-04,26
2016-05,29
2016-06,0
2016-07,0
2016-08,22
2016-09,31
2016-10,0
2016-11,18
2016-12,18
2017-01,24
2017-02,27
2017-03,28
2017-04,32
2017-05,32
2017-06,27
2017-07,25
2017-08,23
2017-09,24
2017-10,25
2017-11,31
2017-12,31
2018-01,27
2018-02,20
2018-03,27
2018-04,41
2018-05,36
2018-06,20
2018-07,17
2018-08,0
2018-09,33
2018-10,24
2018-11,32
2018-12,43
2019-01,26
2019-02,22
2019-03,20
2019-04,23
2019-05,33
2019-06,17
2019-07,25
2019-08,22
2019-09,44
2019-10,23
2019-11,14
2019-12,22
2020-01,24
2020-02,24
2020-03,17
2020-04,34
2020-05,16
2020-06,28
2020-07,25
2020-08,19
2020-09,27
2020-10,29
2020-11,24
2020-12,34
2021-01,30
2021-02,39
2021-03,32
2021-04,45
2021-05,38
2021-06,37
2021-07,22
2021-08,36
2021-09,28
2021-10,27
2021-11,29
2021-12,32
2022-01,28
2022-02,45
2022-03,42
2022-04,49
2022-05,33
2022-06,36
2022-07,54
2022-08,37
2022-09,48
2022-10,47
2022-11,45
2022-12,34
2023-01,39
2023-02,51
2023-03,46
2023-04,42
2023-05,39
2023-06,44
2023-07,36
2023-08,32
2023-09,44
2023-10,44
2023-11,41
2023-12,42
2024-01,31
2024-02,55
2024-03,49
2024-04,71
2024-05,49
2024-06,55
2024-07,57
2024-08,63
2024-09,49
2024-10,59
2024-11,61
2024-12,59
2025-01,61
2025-02,65
2025-03,53
2025-04,78
2025-05,66
2025-06,67
2025-07,88
2025-08,56
2025-09,63
